Time,Sign,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,Get,ResponseRead
2022-02-03 11:41:30:3813176 PM,2.2327,35.4905,,,,0.0127,0.019,35.5316,0.0032
2022-02-03 11:41:30:4429630 PM,2.695,29.8596,,,,0.0129,0.0191,29.8968,0.0031
2022-02-03 11:41:30:5220906 PM,2.4255,46.9834,,,,0.0142,0.0237,47.0226,0.0034
2022-02-03 11:41:30:6014601 PM,0.713,31.7632,,,,0.0123,0.0229,33.3302,0.0028
2022-02-03 11:41:30:6766030 PM,0.7405,34.4818,,,,0.0126,0.0339,34.5205,0.003
2022-02-03 11:41:30:7546413 PM,0.6914,33.7349,,,,0.0125,0.0178,35.4011,0.0029
2022-02-03 11:41:30:8330779 PM,0.7267,37.4428,,,,0.0126,0.0204,39.0039,0.0025
2022-02-03 11:41:30:9119027 PM,0.8513,45.7595,,,,0.0119,0.019,47.6353,0.0034
2022-02-03 11:41:30:9891002 PM,2.3019,35.9047,,,,0.0126,0.0182,35.941,0.0032
2022-02-03 11:41:31:0650336 PM,0.7528,41.3485,,,,0.0128,0.0199,43.0499,0.0025
2022-02-03 11:41:31:1416320 PM,2.6918,34.192,,,,0.0135,0.0254,34.2426,0.0039
2022-02-03 11:41:31:2043136 PM,0.811,31.3087,,,,0.0164,0.0183,32.897,0.0024
2022-02-03 11:41:31:2844692 PM,0.965,33.547,,,,0.0277,0.0184,35.1825,0.0029
2022-02-03 11:41:31:3456278 PM,0.8058,32.5189,,,,0.0126,0.018,34.1183,0.0096
2022-02-03 11:41:31:4250769 PM,0.8666,36.502,,,,0.0135,0.0194,38.1299,0.0027
